ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1986,,,,18636,,,,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1987,,22911,,43608,17572,,0.649,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1988,,38011,,13166,17420,,0.39,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1989,,19246,,87520,10041,,0.432,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1990,,67640,,27177,43461,,0.505,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1991,,32089,,127703,22290,,0.573,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1992,,102672,,88033,49325,,0.364,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1993,,99454,,49206,46022,,0.398,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1994,,61372,,59790,37547,,0.55,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1995,,53232,,62562,35083,,0.552,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1996,,60194,,51288,37649,,0.55,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1997,,51677,,78892,24814,,0.397,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1998,,75722,,74205,37474,,0.417,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,1999,,74174,,117309,28473,,0.356,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2000,,116561,,84720,43190,,0.317,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2001,,100153,,12619,45620,,0.401,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2002,,36567,,26211,19454,,0.478,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2003,,31133,,39552,11105,,0.337,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2004,,37140,,5211,19034,,0.438,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2005,,15177,,21601,1264,,0.077,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2006,,23457,,23941,2246,,0.075,,N Atlantic,E
ANCHOBAYB,Anchovy,Anchovy ICES VIII,Engraulis encrasicolus,2007,,29873,,,,,0.002,,N Atlantic,E
ANCHOSA,Anchovy,Anchovy South Africa,Engraulis encrasicolus,1984,,1197993.355,,,265000,,,,S Atlantic,E
ANCHOSA,Anchovy,Anchovy South Africa,Engraulis encrasicolus,1985,1358807.743,1248106.669,,1.09E+11,280000,,0.206063,0.206063,S Atlantic,E
